ano,sem_epidem,uf,sexo,casos,quantidade
2020,12,AM,Feminino,Casos aguardando resultado,11
2020,12,AM,Feminino,Casos sem informação laboratorial,0
2020,12,AM,Feminino,Casos sem teste laboratorial,7
2020,13,AM,Feminino,Testes positivos,30
2020,13,AM,Feminino,Testes negativos,10
2020,13,AM,Feminino,Casos aguardando resultado,26
2020,13,AM,Feminino,Casos sem informação laboratorial,2
2020,13,AM,Feminino,Casos sem teste laboratorial,0
2020,14,AM,Feminino,Testes positivos,40
2020,14,AM,Feminino,Testes negativos,7
2020,14,AM,Feminino,Casos aguardando resultado,33
2020,14,AM,Feminino,Casos sem informação laboratorial,10
2020,14,AM,Feminino,Casos sem teste laboratorial,3
2020,15,AM,Feminino,Testes positivos,14
2020,15,AM,Feminino,Testes negativos,4
2020,15,AM,Feminino,Casos aguardando resultado,42
2020,15,AM,Feminino,Casos sem informação laboratorial,17
2020,15,AM,Feminino,Casos sem teste laboratorial,5
2020,16,AM,Feminino,Testes positivos,0
2020,16,AM,Feminino,Testes negativos,0
2020,16,AM,Feminino,Casos aguardando resultado,15
2020,16,AM,Feminino,Casos sem informação laboratorial,10
2020,16,AM,Feminino,Casos sem teste laboratorial,5
2010,6,PA,Feminino,Testes positivos,8
2010,6,PA,Feminino,Testes negativos,1
2010,6,PA,Feminino,Casos aguardando resultado,0
2010,6,PA,Feminino,Casos sem informação laboratorial,0
2010,6,PA,Feminino,Casos sem teste laboratorial,3
2010,7,PA,Feminino,Testes positivos,19
2010,7,PA,Feminino,Testes negativos,1
2010,7,PA,Feminino,Casos aguardando resultado,0
2010,7,PA,Feminino,Casos sem informação laboratorial,0
2010,7,PA,Feminino,Casos sem teste laboratorial,3
2010,8,PA,Feminino,Testes positivos,37
2010,8,PA,Feminino,Testes negativos,3
2010,8,PA,Feminino,Casos aguardando resultado,0
2010,8,PA,Feminino,Casos sem informação laboratorial,1
2010,8,PA,Feminino,Casos sem teste laboratorial,3
2010,9,PA,Feminino,Testes positivos,55
2010,9,PA,Feminino,Testes negativos,8
2010,9,PA,Feminino,Casos aguardando resultado,0
2010,9,PA,Feminino,Casos sem informação laboratorial,1
2010,9,PA,Feminino,Casos sem teste laboratorial,8
2010,10,PA,Feminino,Testes positivos,33
2010,10,PA,Feminino,Testes negativos,10
2010,10,PA,Feminino,Casos aguardando resultado,0
2010,10,PA,Feminino,Casos sem informação laboratorial,3
2010,10,PA,Feminino,Casos sem teste laboratorial,11
2010,11,PA,Feminino,Testes positivos,38
2010,11,PA,Feminino,Testes negativos,4
2010,11,PA,Feminino,Casos aguardando resultado,0
2010,11,PA,Feminino,Casos sem informação laboratorial,1
2010,11,PA,Feminino,Casos sem teste laboratorial,6
2010,12,PA,Feminino,Testes positivos,27
2010,12,PA,Feminino,Testes negativos,10
2010,12,PA,Feminino,Casos aguardando resultado,0
2010,12,PA,Feminino,Casos sem informação laboratorial,0
2010,12,PA,Feminino,Casos sem teste laboratorial,5
2010,13,PA,Feminino,Testes positivos,20
2010,13,PA,Feminino,Testes negativos,5
2010,13,PA,Feminino,Casos aguardando resultado,0
2010,13,PA,Feminino,Casos sem informação laboratorial,0
2010,13,PA,Feminino,Casos sem teste laboratorial,3
2010,14,PA,Feminino,Testes positivos,22
2010,14,PA,Feminino,Testes negativos,11
2010,14,PA,Feminino,Casos aguardando resultado,0
2010,14,PA,Feminino,Casos sem informação laboratorial,3
2010,14,PA,Feminino,Casos sem teste laboratorial,5
2010,15,PA,Feminino,Testes positivos,21
2010,15,PA,Feminino,Testes negativos,4
2010,15,PA,Feminino,Casos aguardando resultado,0
2010,15,PA,Feminino,Casos sem informação laboratorial,4
2010,15,PA,Feminino,Casos sem teste laboratorial,3
2010,16,PA,Feminino,Testes positivos,10
2010,16,PA,Feminino,Testes negativos,7
2010,16,PA,Feminino,Casos aguardando resultado,0
2010,16,PA,Feminino,Casos sem informação laboratorial,2
2010,16,PA,Feminino,Casos sem teste laboratorial,0
2012,11,PA,Feminino,Testes positivos,2
2012,11,PA,Feminino,Testes negativos,3
2012,11,PA,Feminino,Casos aguardando resultado,0
2012,11,PA,Feminino,Casos sem informação laboratorial,3
2012,11,PA,Feminino,Casos sem teste laboratorial,0
2012,15,PA,Feminino,Testes positivos,3
2012,15,PA,Feminino,Testes negativos,5
2012,15,PA,Feminino,Casos aguardando resultado,0
2012,15,PA,Feminino,Casos sem informação laboratorial,1
2012,15,PA,Feminino,Casos sem teste laboratorial,0
2013,15,PA,Feminino,Testes positivos,6
2013,15,PA,Feminino,Testes negativos,5
2013,15,PA,Feminino,Casos aguardando resultado,0
2013,15,PA,Feminino,Casos sem informação laboratorial,1
2013,15,PA,Feminino,Casos sem teste laboratorial,0
2013,16,PA,Feminino,Testes positivos,7
2013,16,PA,Feminino,Testes negativos,5
2013,16,PA,Feminino,Casos aguardando resultado,0
2013,16,PA,Feminino,Casos sem informação laboratorial,1
2013,16,PA,Feminino,Casos sem teste laboratorial,0
2016,12,PA,Feminino,Testes positivos,6
2016,12,PA,Feminino,Testes negativos,5
2016,12,PA,Feminino,Casos aguardando resultado,0
2016,12,PA,Feminino,Casos sem informação laboratorial,2
2016,12,PA,Feminino,Casos sem teste laboratorial,0
2016,13,PA,Feminino,Testes positivos,20
2016,13,PA,Feminino,Testes negativos,13
2016,13,PA,Feminino,Casos aguardando resultado,0
2016,13,PA,Feminino,Casos sem informação laboratorial,2
2016,13,PA,Feminino,Casos sem teste laboratorial,0
2016,14,PA,Feminino,Testes positivos,23
2016,14,PA,Feminino,Testes negativos,12
2016,14,PA,Feminino,Casos aguardando resultado,0
2016,14,PA,Feminino,Casos sem informação laboratorial,5
2016,14,PA,Feminino,Casos sem teste laboratorial,0
2016,15,PA,Feminino,Testes positivos,24
2016,15,PA,Feminino,Testes negativos,11
2016,15,PA,Feminino,Casos aguardando resultado,0
2016,15,PA,Feminino,Casos sem informação laboratorial,8
2016,15,PA,Feminino,Casos sem teste laboratorial,0
2016,16,PA,Feminino,Testes positivos,19
2016,16,PA,Feminino,Testes negativos,13
2016,16,PA,Feminino,Casos aguardando resultado,0
2016,16,PA,Feminino,Casos sem informação laboratorial,11
2016,16,PA,Feminino,Casos sem teste laboratorial,0
2017,3,PA,Feminino,Testes positivos,1
2017,3,PA,Feminino,Testes negativos,4
2017,3,PA,Feminino,Casos aguardando resultado,0
2017,3,PA,Feminino,Casos sem informação laboratorial,5
2017,3,PA,Feminino,Casos sem teste laboratorial,0
2017,5,PA,Feminino,Testes positivos,0
2017,5,PA,Feminino,Testes negativos,3
2017,5,PA,Feminino,Casos aguardando resultado,0
2017,5,PA,Feminino,Casos sem informação laboratorial,8
2017,5,PA,Feminino,Casos sem teste laboratorial,0
2017,6,PA,Feminino,Testes positivos,2
2017,6,PA,Feminino,Testes negativos,9
2017,6,PA,Feminino,Casos aguardando resultado,0
2017,6,PA,Feminino,Casos sem informação laboratorial,8
2017,6,PA,Feminino,Casos sem teste laboratorial,0
2017,7,PA,Feminino,Testes positivos,3
2017,7,PA,Feminino,Testes negativos,4
2017,7,PA,Feminino,Casos aguardando resultado,0
2017,7,PA,Feminino,Casos sem informação laboratorial,8
2017,7,PA,Feminino,Casos sem teste laboratorial,0
2017,8,PA,Feminino,Testes positivos,2
2017,8,PA,Feminino,Testes negativos,1
2017,8,PA,Feminino,Casos aguardando resultado,0
2017,8,PA,Feminino,Casos sem informação laboratorial,5
2017,8,PA,Feminino,Casos sem teste laboratorial,0
2017,9,PA,Feminino,Testes positivos,4
2017,9,PA,Feminino,Testes negativos,5
2017,9,PA,Feminino,Casos aguardando resultado,0
2017,9,PA,Feminino,Casos sem informação laboratorial,7
2017,9,PA,Feminino,Casos sem teste laboratorial,0
2017,10,PA,Feminino,Testes positivos,8
2017,10,PA,Feminino,Testes negativos,3
2017,10,PA,Feminino,Casos aguardando resultado,0
2017,10,PA,Feminino,Casos sem informação laboratorial,7
2017,10,PA,Feminino,Casos sem teste laboratorial,0
2017,11,PA,Feminino,Testes positivos,6
2017,11,PA,Feminino,Testes negativos,4
2017,11,PA,Feminino,Casos aguardando resultado,0
2017,11,PA,Feminino,Casos sem informação laboratorial,8
2017,11,PA,Feminino,Casos sem teste laboratorial,0
2017,12,PA,Feminino,Testes positivos,3
2017,12,PA,Feminino,Testes negativos,2
2017,12,PA,Feminino,Casos aguardando resultado,0
2017,12,PA,Feminino,Casos sem informação laboratorial,9
2017,12,PA,Feminino,Casos sem teste laboratorial,0
2017,13,PA,Feminino,Testes positivos,3
2017,13,PA,Feminino,Testes negativos,2
2017,13,PA,Feminino,Casos aguardando resultado,0
2017,13,PA,Feminino,Casos sem informação laboratorial,8
2017,13,PA,Feminino,Casos sem teste laboratorial,0
2017,14,PA,Feminino,Testes positivos,4
2017,14,PA,Feminino,Testes negativos,1
2017,14,PA,Feminino,Casos aguardando resultado,0
2017,14,PA,Feminino,Casos sem informação laboratorial,7
2017,14,PA,Feminino,Casos sem teste laboratorial,0
2017,15,PA,Feminino,Testes positivos,1
2017,15,PA,Feminino,Testes negativos,1
2017,15,PA,Feminino,Casos aguardando resultado,0
2017,15,PA,Feminino,Casos sem informação laboratorial,8
2017,15,PA,Feminino,Casos sem teste laboratorial,0
2017,16,PA,Feminino,Testes positivos,2
2017,16,PA,Feminino,Testes negativos,1
2017,16,PA,Feminino,Casos aguardando resultado,0
2017,16,PA,Feminino,Casos sem informação laboratorial,9
2017,16,PA,Feminino,Casos sem teste laboratorial,0
2018,6,PA,Feminino,Testes positivos,1
2018,6,PA,Feminino,Testes negativos,1
2018,6,PA,Feminino,Casos aguardando resultado,0
2018,6,PA,Feminino,Casos sem informação laboratorial,6
2018,6,PA,Feminino,Casos sem teste laboratorial,0
2018,12,PA,Feminino,Testes positivos,0
2018,12,PA,Feminino,Testes negativos,0
2018,12,PA,Feminino,Casos aguardando resultado,0
2018,12,PA,Feminino,Casos sem informação laboratorial,8
2018,12,PA,Feminino,Casos sem teste laboratorial,0
2018,13,PA,Feminino,Testes positivos,3
2018,13,PA,Feminino,Testes negativos,4
2018,13,PA,Feminino,Casos aguardando resultado,0
2018,13,PA,Feminino,Casos sem informação laboratorial,5
2018,13,PA,Feminino,Casos sem teste laboratorial,0
2018,14,PA,Feminino,Testes positivos,8
2018,14,PA,Feminino,Testes negativos,4
2018,14,PA,Feminino,Casos aguardando resultado,0
2018,14,PA,Feminino,Casos sem informação laboratorial,6
2018,14,PA,Feminino,Casos sem teste laboratorial,0
2018,15,PA,Feminino,Testes positivos,9
2018,15,PA,Feminino,Testes negativos,1
2018,15,PA,Feminino,Casos aguardando resultado,0
2018,15,PA,Feminino,Casos sem informação laboratorial,6
2018,15,PA,Feminino,Casos sem teste laboratorial,0
2018,16,PA,Feminino,Testes positivos,13
2018,16,PA,Feminino,Testes negativos,5
2018,16,PA,Feminino,Casos aguardando resultado,0
2018,16,PA,Feminino,Casos sem informação laboratorial,5
2018,16,PA,Feminino,Casos sem teste laboratorial,0
2019,6,PA,Feminino,Testes positivos,1
2019,6,PA,Feminino,Testes negativos,6
2019,6,PA,Feminino,Casos aguardando resultado,0
2019,6,PA,Feminino,Casos sem informação laboratorial,0
2019,6,PA,Feminino,Casos sem teste laboratorial,2
2019,10,PA,Feminino,Testes positivos,5
2019,10,PA,Feminino,Testes negativos,2
2019,10,PA,Feminino,Casos aguardando resultado,0
2019,10,PA,Feminino,Casos sem informação laboratorial,0
2019,10,PA,Feminino,Casos sem teste laboratorial,6
2019,11,PA,Feminino,Testes positivos,2
2019,11,PA,Feminino,Testes negativos,2
2019,11,PA,Feminino,Casos aguardando resultado,1
2019,11,PA,Feminino,Casos sem informação laboratorial,0
2019,11,PA,Feminino,Casos sem teste laboratorial,8
2019,12,PA,Feminino,Testes positivos,8
2019,12,PA,Feminino,Testes negativos,4
2019,12,PA,Feminino,Casos aguardando resultado,0
2019,12,PA,Feminino,Casos sem informação laboratorial,0
2019,12,PA,Feminino,Casos sem teste laboratorial,9
2019,13,PA,Feminino,Testes positivos,5
2019,13,PA,Feminino,Testes negativos,3
2019,13,PA,Feminino,Casos aguardando resultado,2
2019,13,PA,Feminino,Casos sem informação laboratorial,0
2019,13,PA,Feminino,Casos sem teste laboratorial,7
2019,14,PA,Feminino,Testes positivos,9
2019,14,PA,Feminino,Testes negativos,2
2019,14,PA,Feminino,Casos aguardando resultado,0
2019,14,PA,Feminino,Casos sem informação laboratorial,0
2019,14,PA,Feminino,Casos sem teste laboratorial,13
2019,15,PA,Feminino,Testes positivos,11
2019,15,PA,Feminino,Testes negativos,2
2019,15,PA,Feminino,Casos aguardando resultado,0
2019,15,PA,Feminino,Casos sem informação laboratorial,0
2019,15,PA,Feminino,Casos sem teste laboratorial,13
2019,16,PA,Feminino,Testes positivos,14
2019,16,PA,Feminino,Testes negativos,4
2019,16,PA,Feminino,Casos aguardando resultado,1
2019,16,PA,Feminino,Casos sem informação laboratorial,1
2019,16,PA,Feminino,Casos sem teste laboratorial,7
2020,6,PA,Feminino,Testes positivos,2
2020,6,PA,Feminino,Testes negativos,4
2020,6,PA,Feminino,Casos aguardando resultado,0
2020,6,PA,Feminino,Casos sem informação laboratorial,0
2020,6,PA,Feminino,Casos sem teste laboratorial,2
2020,8,PA,Feminino,Testes positivos,3
2020,8,PA,Feminino,Testes negativos,2
2020,8,PA,Feminino,Casos aguardando resultado,0
2020,8,PA,Feminino,Casos sem informação laboratorial,1
2020,8,PA,Feminino,Casos sem teste laboratorial,4
2020,9,PA,Feminino,Testes positivos,5
2020,9,PA,Feminino,Testes negativos,4
2020,9,PA,Feminino,Casos aguardando resultado,0
2020,9,PA,Feminino,Casos sem informação laboratorial,1
2020,9,PA,Feminino,Casos sem teste laboratorial,4
2020,10,PA,Feminino,Testes positivos,3
2020,10,PA,Feminino,Testes negativos,4
2020,10,PA,Feminino,Casos aguardando resultado,0
2020,10,PA,Feminino,Casos sem informação laboratorial,0
2020,10,PA,Feminino,Casos sem teste laboratorial,4
2020,11,PA,Feminino,Testes positivos,4
2020,11,PA,Feminino,Testes negativos,11
2020,11,PA,Feminino,Casos aguardando resultado,1
2020,11,PA,Feminino,Casos sem informação laboratorial,0
2020,11,PA,Feminino,Casos sem teste laboratorial,9
2020,12,PA,Feminino,Testes positivos,5
2020,12,PA,Feminino,Testes negativos,14
2020,12,PA,Feminino,Casos aguardando resultado,6
2020,12,PA,Feminino,Casos sem informação laboratorial,0
2020,12,PA,Feminino,Casos sem teste laboratorial,3
2020,13,PA,Feminino,Testes positivos,6
2020,13,PA,Feminino,Testes negativos,10
2020,13,PA,Feminino,Casos aguardando resultado,11
2020,13,PA,Feminino,Casos sem informação laboratorial,1
2020,13,PA,Feminino,Casos sem teste laboratorial,5
2020,14,PA,Feminino,Testes positivos,4
2020,14,PA,Feminino,Testes negativos,14
2020,14,PA,Feminino,Casos aguardando resultado,20
2020,14,PA,Feminino,Casos sem informação laboratorial,1
2020,14,PA,Feminino,Casos sem teste laboratorial,0
2020,15,PA,Feminino,Testes positivos,5
2020,15,PA,Feminino,Testes negativos,2
2020,15,PA,Feminino,Casos aguardando resultado,37
2020,15,PA,Feminino,Casos sem informação laboratorial,0
2020,15,PA,Feminino,Casos sem teste laboratorial,0
2020,16,PA,Feminino,Testes positivos,1
2020,16,PA,Feminino,Testes negativos,0
2020,16,PA,Feminino,Casos aguardando resultado,24
2020,16,PA,Feminino,Casos sem informação laboratorial,6
2020,16,PA,Feminino,Casos sem teste laboratorial,1
2020,13,AP,Feminino,Testes positivos,1
2020,13,AP,Feminino,Testes negativos,0
2020,13,AP,Feminino,Casos aguardando resultado,8
2020,13,AP,Feminino,Casos sem informação laboratorial,0
2020,13,AP,Feminino,Casos sem teste laboratorial,1
2020,13,TO,Feminino,Testes positivos,0
2020,13,TO,Feminino,Testes negativos,2
2020,13,TO,Feminino,Casos aguardando resultado,5
2020,13,TO,Feminino,Casos sem informação laboratorial,0
2020,13,TO,Feminino,Casos sem teste laboratorial,1
2010,10,MA,Feminino,Testes positivos,5
2010,10,MA,Feminino,Testes negativos,0
2010,10,MA,Feminino,Casos aguardando resultado,0
2010,10,MA,Feminino,Casos sem informação laboratorial,5
2010,10,MA,Feminino,Casos sem teste laboratorial,0
2010,11,MA,Feminino,Testes positivos,7
2010,11,MA,Feminino,Testes negativos,0
2010,11,MA,Feminino,Casos aguardando resultado,0
2010,11,MA,Feminino,Casos sem informação laboratorial,9
2010,11,MA,Feminino,Casos sem teste laboratorial,0
2010,12,MA,Feminino,Testes positivos,3
2010,12,MA,Feminino,Testes negativos,0
2010,12,MA,Feminino,Casos aguardando resultado,0
2010,12,MA,Feminino,Casos sem informação laboratorial,5
2010,12,MA,Feminino,Casos sem teste laboratorial,0
2010,13,MA,Feminino,Testes positivos,5
2010,13,MA,Feminino,Testes negativos,1
2010,13,MA,Feminino,Casos aguardando resultado,0
2010,13,MA,Feminino,Casos sem informação laboratorial,7
2010,13,MA,Feminino,Casos sem teste laboratorial,0
2020,6,MA,Feminino,Testes positivos,3
2020,6,MA,Feminino,Testes negativos,3
2020,6,MA,Feminino,Casos aguardando resultado,5
2020,6,MA,Feminino,Casos sem informação laboratorial,0
2020,6,MA,Feminino,Casos sem teste laboratorial,2
2020,7,MA,Feminino,Testes positivos,2
2020,7,MA,Feminino,Testes negativos,0
2020,7,MA,Feminino,Casos aguardando resultado,9
2020,7,MA,Feminino,Casos sem informação laboratorial,1
2020,7,MA,Feminino,Casos sem teste laboratorial,3
2020,8,MA,Feminino,Testes positivos,1
2020,8,MA,Feminino,Testes negativos,2
2020,8,MA,Feminino,Casos aguardando resultado,17
2020,8,MA,Feminino,Casos sem informação laboratorial,1
2020,8,MA,Feminino,Casos sem teste laboratorial,8
2020,9,MA,Feminino,Testes positivos,6
2020,9,MA,Feminino,Testes negativos,3
2020,9,MA,Feminino,Casos aguardando resultado,6
2020,9,MA,Feminino,Casos sem informação laboratorial,3
2020,9,MA,Feminino,Casos sem teste laboratorial,9
2020,10,MA,Feminino,Testes positivos,8
2020,10,MA,Feminino,Testes negativos,2
2020,10,MA,Feminino,Casos aguardando resultado,14
2020,10,MA,Feminino,Casos sem informação laboratorial,1
2020,10,MA,Feminino,Casos sem teste laboratorial,4
2020,11,MA,Feminino,Testes positivos,21
2020,11,MA,Feminino,Testes negativos,1
2020,11,MA,Feminino,Casos aguardando resultado,25
2020,11,MA,Feminino,Casos sem informação laboratorial,1
2020,11,MA,Feminino,Casos sem teste laboratorial,7
2020,12,MA,Feminino,Testes positivos,10
2020,12,MA,Feminino,Testes negativos,0
2020,12,MA,Feminino,Casos aguardando resultado,27
2020,12,MA,Feminino,Casos sem informação laboratorial,3
2020,12,MA,Feminino,Casos sem teste laboratorial,9
2020,13,MA,Feminino,Testes positivos,6
2020,13,MA,Feminino,Testes negativos,0
2020,13,MA,Feminino,Casos aguardando resultado,20
2020,13,MA,Feminino,Casos sem informação laboratorial,9
2020,13,MA,Feminino,Casos sem teste laboratorial,9
2020,14,MA,Feminino,Testes positivos,1
2020,14,MA,Feminino,Testes negativos,2
2020,14,MA,Feminino,Casos aguardando resultado,8
2020,14,MA,Feminino,Casos sem informação laboratorial,2
2020,14,MA,Feminino,Casos sem teste laboratorial,18
2020,15,MA,Feminino,Testes positivos,1
2020,15,MA,Feminino,Testes negativos,0
2020,15,MA,Feminino,Casos aguardando resultado,5
2020,15,MA,Feminino,Casos sem informação laboratorial,2
2020,15,MA,Feminino,Casos sem teste laboratorial,13
2010,11,PI,Feminino,Testes positivos,16
2010,11,PI,Feminino,Testes negativos,0
2010,11,PI,Feminino,Casos aguardando resultado,0
2010,11,PI,Feminino,Casos sem informação laboratorial,2
2010,11,PI,Feminino,Casos sem teste laboratorial,0
2010,12,PI,Feminino,Testes positivos,19
2010,12,PI,Feminino,Testes negativos,0
2010,12,PI,Feminino,Casos aguardando resultado,0
2010,12,PI,Feminino,Casos sem informação laboratorial,1
2010,12,PI,Feminino,Casos sem teste laboratorial,0
2010,13,PI,Feminino,Testes positivos,13
2010,13,PI,Feminino,Testes negativos,0
2010,13,PI,Feminino,Casos aguardando resultado,0
2010,13,PI,Feminino,Casos sem informação laboratorial,0
2010,13,PI,Feminino,Casos sem teste laboratorial,0
2010,14,PI,Feminino,Testes positivos,9
2010,14,PI,Feminino,Testes negativos,0
2010,14,PI,Feminino,Casos aguardando resultado,0
2010,14,PI,Feminino,Casos sem informação laboratorial,0
2010,14,PI,Feminino,Casos sem teste laboratorial,0
2010,15,PI,Feminino,Testes positivos,5
2010,15,PI,Feminino,Testes negativos,0
2010,15,PI,Feminino,Casos aguardando resultado,0
2010,15,PI,Feminino,Casos sem informação laboratorial,3
2010,15,PI,Feminino,Casos sem teste laboratorial,0
2016,13,PI,Feminino,Testes positivos,1
2016,13,PI,Feminino,Testes negativos,8
2016,13,PI,Feminino,Casos aguardando resultado,0
2016,13,PI,Feminino,Casos sem informação laboratorial,1
2016,13,PI,Feminino,Casos sem teste laboratorial,0
2016,15,PI,Feminino,Testes positivos,1
2016,15,PI,Feminino,Testes negativos,6
2016,15,PI,Feminino,Casos aguardando resultado,0
