ano,sem_epidem,uf,sexo,virus,quantidade
2016,16,PA,Feminino,VSR,0
2016,16,PA,Feminino,"Parainfluenza 1, 2, 3",0
2016,16,PA,Feminino,Adenovirus,0
2017,3,PA,Feminino,"Influenza A, B",1
2017,3,PA,Feminino,SARS_CoV_2,0
2017,3,PA,Feminino,VSR,0
2017,3,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,3,PA,Feminino,Adenovirus,0
2017,5,PA,Feminino,"Influenza A, B",0
2017,5,PA,Feminino,SARS_CoV_2,0
2017,5,PA,Feminino,VSR,0
2017,5,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,5,PA,Feminino,Adenovirus,0
2017,6,PA,Feminino,"Influenza A, B",2
2017,6,PA,Feminino,SARS_CoV_2,0
2017,6,PA,Feminino,VSR,0
2017,6,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,6,PA,Feminino,Adenovirus,0
2017,7,PA,Feminino,"Influenza A, B",3
2017,7,PA,Feminino,SARS_CoV_2,0
2017,7,PA,Feminino,VSR,0
2017,7,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,7,PA,Feminino,Adenovirus,0
2017,8,PA,Feminino,"Influenza A, B",2
2017,8,PA,Feminino,SARS_CoV_2,0
2017,8,PA,Feminino,VSR,0
2017,8,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,8,PA,Feminino,Adenovirus,0
2017,9,PA,Feminino,"Influenza A, B",4
2017,9,PA,Feminino,SARS_CoV_2,0
2017,9,PA,Feminino,VSR,0
2017,9,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,9,PA,Feminino,Adenovirus,0
2017,10,PA,Feminino,"Influenza A, B",8
2017,10,PA,Feminino,SARS_CoV_2,0
2017,10,PA,Feminino,VSR,0
2017,10,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,10,PA,Feminino,Adenovirus,0
2017,11,PA,Feminino,"Influenza A, B",6
2017,11,PA,Feminino,SARS_CoV_2,0
2017,11,PA,Feminino,VSR,0
2017,11,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,11,PA,Feminino,Adenovirus,0
2017,12,PA,Feminino,"Influenza A, B",3
2017,12,PA,Feminino,SARS_CoV_2,0
2017,12,PA,Feminino,VSR,0
2017,12,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,12,PA,Feminino,Adenovirus,0
2017,13,PA,Feminino,"Influenza A, B",2
2017,13,PA,Feminino,SARS_CoV_2,0
2017,13,PA,Feminino,VSR,1
2017,13,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,13,PA,Feminino,Adenovirus,0
2017,14,PA,Feminino,"Influenza A, B",1
2017,14,PA,Feminino,SARS_CoV_2,0
2017,14,PA,Feminino,VSR,3
2017,14,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,14,PA,Feminino,Adenovirus,0
2017,15,PA,Feminino,"Influenza A, B",0
2017,15,PA,Feminino,SARS_CoV_2,0
2017,15,PA,Feminino,VSR,0
2017,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,15,PA,Feminino,Adenovirus,1
2017,16,PA,Feminino,"Influenza A, B",0
2017,16,PA,Feminino,SARS_CoV_2,0
2017,16,PA,Feminino,VSR,2
2017,16,PA,Feminino,"Parainfluenza 1, 2, 3",0
2017,16,PA,Feminino,Adenovirus,1
2018,6,PA,Feminino,"Influenza A, B",0
2018,6,PA,Feminino,SARS_CoV_2,0
2018,6,PA,Feminino,VSR,0
2018,6,PA,Feminino,"Parainfluenza 1, 2, 3",2
2018,6,PA,Feminino,Adenovirus,0
2018,12,PA,Feminino,"Influenza A, B",0
2018,12,PA,Feminino,SARS_CoV_2,0
2018,12,PA,Feminino,VSR,0
2018,12,PA,Feminino,"Parainfluenza 1, 2, 3",0
2018,12,PA,Feminino,Adenovirus,0
2018,13,PA,Feminino,"Influenza A, B",3
2018,13,PA,Feminino,SARS_CoV_2,0
2018,13,PA,Feminino,VSR,0
2018,13,PA,Feminino,"Parainfluenza 1, 2, 3",0
2018,13,PA,Feminino,Adenovirus,0
2018,14,PA,Feminino,"Influenza A, B",5
2018,14,PA,Feminino,SARS_CoV_2,0
2018,14,PA,Feminino,VSR,2
2018,14,PA,Feminino,"Parainfluenza 1, 2, 3",1
2018,14,PA,Feminino,Adenovirus,0
2018,15,PA,Feminino,"Influenza A, B",9
2018,15,PA,Feminino,SARS_CoV_2,0
2018,15,PA,Feminino,VSR,1
2018,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2018,15,PA,Feminino,Adenovirus,0
2018,16,PA,Feminino,"Influenza A, B",5
2018,16,PA,Feminino,SARS_CoV_2,0
2018,16,PA,Feminino,VSR,6
2018,16,PA,Feminino,"Parainfluenza 1, 2, 3",2
2018,16,PA,Feminino,Adenovirus,0
2019,6,PA,Feminino,"Influenza A, B",0
2019,6,PA,Feminino,SARS_CoV_2,0
2019,6,PA,Feminino,VSR,0
2019,6,PA,Feminino,"Parainfluenza 1, 2, 3",0
2019,6,PA,Feminino,Adenovirus,1
2019,10,PA,Feminino,"Influenza A, B",3
2019,10,PA,Feminino,SARS_CoV_2,0
2019,10,PA,Feminino,VSR,2
2019,10,PA,Feminino,"Parainfluenza 1, 2, 3",0
2019,10,PA,Feminino,Adenovirus,0
2019,11,PA,Feminino,"Influenza A, B",0
2019,11,PA,Feminino,SARS_CoV_2,0
2019,11,PA,Feminino,VSR,1
2019,11,PA,Feminino,"Parainfluenza 1, 2, 3",0
2019,11,PA,Feminino,Adenovirus,1
2019,12,PA,Feminino,"Influenza A, B",2
2019,12,PA,Feminino,SARS_CoV_2,0
2019,12,PA,Feminino,VSR,5
2019,12,PA,Feminino,"Parainfluenza 1, 2, 3",0
2019,12,PA,Feminino,Adenovirus,0
2019,13,PA,Feminino,"Influenza A, B",3
2019,13,PA,Feminino,SARS_CoV_2,0
2019,13,PA,Feminino,VSR,0
2019,13,PA,Feminino,"Parainfluenza 1, 2, 3",0
2019,13,PA,Feminino,Adenovirus,1
2019,14,PA,Feminino,"Influenza A, B",2
2019,14,PA,Feminino,SARS_CoV_2,0
2019,14,PA,Feminino,VSR,6
2019,14,PA,Feminino,"Parainfluenza 1, 2, 3",0
2019,14,PA,Feminino,Adenovirus,1
2019,15,PA,Feminino,"Influenza A, B",3
2019,15,PA,Feminino,SARS_CoV_2,0
2019,15,PA,Feminino,VSR,8
2019,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2019,15,PA,Feminino,Adenovirus,0
2019,16,PA,Feminino,"Influenza A, B",1
2019,16,PA,Feminino,SARS_CoV_2,0
2019,16,PA,Feminino,VSR,8
2019,16,PA,Feminino,"Parainfluenza 1, 2, 3",1
2019,16,PA,Feminino,Adenovirus,2
2020,6,PA,Feminino,"Influenza A, B",2
2020,6,PA,Feminino,SARS_CoV_2,0
2020,6,PA,Feminino,VSR,0
2020,6,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,6,PA,Feminino,Adenovirus,0
2020,8,PA,Feminino,"Influenza A, B",3
2020,8,PA,Feminino,SARS_CoV_2,0
2020,8,PA,Feminino,VSR,0
2020,8,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,8,PA,Feminino,Adenovirus,0
2020,9,PA,Feminino,"Influenza A, B",5
2020,9,PA,Feminino,SARS_CoV_2,0
2020,9,PA,Feminino,VSR,0
2020,9,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,9,PA,Feminino,Adenovirus,0
2020,10,PA,Feminino,"Influenza A, B",3
2020,10,PA,Feminino,SARS_CoV_2,0
2020,10,PA,Feminino,VSR,0
2020,10,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,10,PA,Feminino,Adenovirus,0
2020,11,PA,Feminino,"Influenza A, B",4
2020,11,PA,Feminino,SARS_CoV_2,0
2020,11,PA,Feminino,VSR,0
2020,11,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,11,PA,Feminino,Adenovirus,0
2020,12,PA,Feminino,"Influenza A, B",5
2020,12,PA,Feminino,SARS_CoV_2,0
2020,12,PA,Feminino,VSR,0
2020,12,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,12,PA,Feminino,Adenovirus,0
2020,13,PA,Feminino,"Influenza A, B",3
2020,13,PA,Feminino,SARS_CoV_2,3
2020,13,PA,Feminino,VSR,0
2020,13,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,13,PA,Feminino,Adenovirus,0
2020,14,PA,Feminino,"Influenza A, B",1
2020,14,PA,Feminino,SARS_CoV_2,3
2020,14,PA,Feminino,VSR,0
2020,14,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,14,PA,Feminino,Adenovirus,0
2020,15,PA,Feminino,"Influenza A, B",0
2020,15,PA,Feminino,SARS_CoV_2,5
2020,15,PA,Feminino,VSR,0
2020,15,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,15,PA,Feminino,Adenovirus,0
2020,16,PA,Feminino,"Influenza A, B",0
2020,16,PA,Feminino,SARS_CoV_2,1
2020,16,PA,Feminino,VSR,0
2020,16,PA,Feminino,"Parainfluenza 1, 2, 3",0
2020,16,PA,Feminino,Adenovirus,0
2020,13,AP,Feminino,"Influenza A, B",0
2020,13,AP,Feminino,SARS_CoV_2,1
2020,13,AP,Feminino,VSR,0
2020,13,AP,Feminino,"Parainfluenza 1, 2, 3",0
2020,13,AP,Feminino,Adenovirus,0
2020,13,TO,Feminino,"Influenza A, B",0
2020,13,TO,Feminino,SARS_CoV_2,0
2020,13,TO,Feminino,VSR,0
2020,13,TO,Feminino,"Parainfluenza 1, 2, 3",0
2020,13,TO,Feminino,Adenovirus,0
2010,10,MA,Feminino,"Influenza A, B",1
2010,10,MA,Feminino,SARS_CoV_2,0
2010,10,MA,Feminino,VSR,0
2010,10,MA,Feminino,"Parainfluenza 1, 2, 3",0
2010,10,MA,Feminino,Adenovirus,0
2010,11,MA,Feminino,"Influenza A, B",5
2010,11,MA,Feminino,SARS_CoV_2,0
2010,11,MA,Feminino,VSR,0
2010,11,MA,Feminino,"Parainfluenza 1, 2, 3",0
2010,11,MA,Feminino,Adenovirus,0
2010,12,MA,Feminino,"Influenza A, B",2
2010,12,MA,Feminino,SARS_CoV_2,0
2010,12,MA,Feminino,VSR,0
2010,12,MA,Feminino,"Parainfluenza 1, 2, 3",0
2010,12,MA,Feminino,Adenovirus,0
2010,13,MA,Feminino,"Influenza A, B",2
2010,13,MA,Feminino,SARS_CoV_2,0
2010,13,MA,Feminino,VSR,0
2010,13,MA,Feminino,"Parainfluenza 1, 2, 3",0
2010,13,MA,Feminino,Adenovirus,0
2020,6,MA,Feminino,"Influenza A, B",3
2020,6,MA,Feminino,SARS_CoV_2,0
2020,6,MA,Feminino,VSR,0
2020,6,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,6,MA,Feminino,Adenovirus,0
2020,7,MA,Feminino,"Influenza A, B",2
2020,7,MA,Feminino,SARS_CoV_2,0
2020,7,MA,Feminino,VSR,0
2020,7,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,7,MA,Feminino,Adenovirus,0
2020,8,MA,Feminino,"Influenza A, B",1
2020,8,MA,Feminino,SARS_CoV_2,0
2020,8,MA,Feminino,VSR,0
2020,8,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,8,MA,Feminino,Adenovirus,0
2020,9,MA,Feminino,"Influenza A, B",6
2020,9,MA,Feminino,SARS_CoV_2,0
2020,9,MA,Feminino,VSR,0
2020,9,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,9,MA,Feminino,Adenovirus,0
2020,10,MA,Feminino,"Influenza A, B",7
2020,10,MA,Feminino,SARS_CoV_2,0
2020,10,MA,Feminino,VSR,0
2020,10,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,10,MA,Feminino,Adenovirus,0
2020,11,MA,Feminino,"Influenza A, B",21
2020,11,MA,Feminino,SARS_CoV_2,0
2020,11,MA,Feminino,VSR,0
2020,11,MA,Feminino,"Parainfluenza 1, 2, 3",1
2020,11,MA,Feminino,Adenovirus,0
2020,12,MA,Feminino,"Influenza A, B",10
2020,12,MA,Feminino,SARS_CoV_2,0
2020,12,MA,Feminino,VSR,0
2020,12,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,12,MA,Feminino,Adenovirus,0
2020,13,MA,Feminino,"Influenza A, B",4
2020,13,MA,Feminino,SARS_CoV_2,1
2020,13,MA,Feminino,VSR,0
2020,13,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,13,MA,Feminino,Adenovirus,0
2020,14,MA,Feminino,"Influenza A, B",0
2020,14,MA,Feminino,SARS_CoV_2,1
2020,14,MA,Feminino,VSR,0
2020,14,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,14,MA,Feminino,Adenovirus,0
2020,15,MA,Feminino,"Influenza A, B",0
2020,15,MA,Feminino,SARS_CoV_2,0
2020,15,MA,Feminino,VSR,0
2020,15,MA,Feminino,"Parainfluenza 1, 2, 3",0
2020,15,MA,Feminino,Adenovirus,0
2010,11,PI,Feminino,"Influenza A, B",4
2010,11,PI,Feminino,SARS_CoV_2,0
2010,11,PI,Feminino,VSR,0
2010,11,PI,Feminino,"Parainfluenza 1, 2, 3",0
2010,11,PI,Feminino,Adenovirus,0
2010,12,PI,Feminino,"Influenza A, B",6
2010,12,PI,Feminino,SARS_CoV_2,0
2010,12,PI,Feminino,VSR,0
2010,12,PI,Feminino,"Parainfluenza 1, 2, 3",0
2010,12,PI,Feminino,Adenovirus,0
2010,13,PI,Feminino,"Influenza A, B",5
2010,13,PI,Feminino,SARS_CoV_2,0
2010,13,PI,Feminino,VSR,0
2010,13,PI,Feminino,"Parainfluenza 1, 2, 3",0
2010,13,PI,Feminino,Adenovirus,0
2010,14,PI,Feminino,"Influenza A, B",1
2010,14,PI,Feminino,SARS_CoV_2,0
2010,14,PI,Feminino,VSR,0
2010,14,PI,Feminino,"Parainfluenza 1, 2, 3",0
2010,14,PI,Feminino,Adenovirus,0
2010,15,PI,Feminino,"Influenza A, B",1
2010,15,PI,Feminino,SARS_CoV_2,0
2010,15,PI,Feminino,VSR,0
2010,15,PI,Feminino,"Parainfluenza 1, 2, 3",0
2010,15,PI,Feminino,Adenovirus,0
2016,13,PI,Feminino,"Influenza A, B",1
2016,13,PI,Feminino,SARS_CoV_2,0
2016,13,PI,Feminino,VSR,0
2016,13,PI,Feminino,"Parainfluenza 1, 2, 3",0
2016,13,PI,Feminino,Adenovirus,0
2016,15,PI,Feminino,"Influenza A, B",1
2016,15,PI,Feminino,SARS_CoV_2,0
2016,15,PI,Feminino,VSR,0
2016,15,PI,Feminino,"Parainfluenza 1, 2, 3",0
2016,15,PI,Feminino,Adenovirus,0
2016,16,PI,Feminino,"Influenza A, B",1
2016,16,PI,Feminino,SARS_CoV_2,0
2016,16,PI,Feminino,VSR,0
2016,16,PI,Feminino,"Parainfluenza 1, 2, 3",0
2016,16,PI,Feminino,Adenovirus,0
2018,15,PI,Feminino,"Influenza A, B",3
2018,15,PI,Feminino,SARS_CoV_2,0
2018,15,PI,Feminino,VSR,0
2018,15,PI,Feminino,"Parainfluenza 1, 2, 3",1
2018,15,PI,Feminino,Adenovirus,0
2019,8,PI,Feminino,"Influenza A, B",0
2019,8,PI,Feminino,SARS_CoV_2,0
2019,8,PI,Feminino,VSR,5
2019,8,PI,Feminino,"Parainfluenza 1, 2, 3",0
2019,8,PI,Feminino,Adenovirus,0
2019,11,PI,Feminino,"Influenza A, B",0
